=== SUMMARY BY STAGE ===
Subject,Age,Gender,Group,Stage,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-002,31,female,ODOR,Baseline,553,533,572,24,24,100
SIM-002,31,female,ODOR,Filtering,621,606,636,12,12,100
SIM-002,31,female,ODOR,Correlation,515,494,534,23,24,96

=== SUMMARY BY BLOCK ===
Subject,Age,Gender,Group,Stage,BlockID,Mean_RT_ms,Mean_RT_Congruent,Mean_RT_Incongruent,Correct_Count,Total_Count,Accuracy_Percent
SIM-002,31,female,ODOR,Filtering,Filtering_1,621,606,636,12,12,100
SIM-002,31,female,ODOR,Baseline,Baseline_2,553,515,591,12,12,100
SIM-002,31,female,ODOR,Baseline,Baseline_1,552,551,553,12,12,100
SIM-002,31,female,ODOR,Correlation,Correlation_1,494,494,,11,12,92
SIM-002,31,female,ODOR,Correlation,Correlation_2,534,,534,12,12,100

=== RAW DATA ===
Subject,Age,Gender,Group,Stage,BlockID,Trial,Odor,Pitch,Congruency,Response,Correction,RT_ms
SIM-002,31,female,ODOR,Correlation,Correlation_2,2,Indole,745,incongruent,B,correct,562
SIM-002,31,female,ODOR,Correlation,Correlation_2,3,Indole,745,incongruent,B,correct,540
SIM-002,31,female,ODOR,Correlation,Correlation_2,4,PEA,482,incongruent,V,correct,590
SIM-002,31,female,ODOR,Correlation,Correlation_2,5,PEA,482,incongruent,V,correct,525
SIM-002,31,female,ODOR,Correlation,Correlation_2,6,Indole,745,incongruent,B,correct,445
SIM-002,31,female,ODOR,Correlation,Correlation_2,7,PEA,482,incongruent,V,correct,527
SIM-002,31,female,ODOR,Correlation,Correlation_2,8,Indole,745,incongruent,B,correct,528
SIM-002,31,female,ODOR,Correlation,Correlation_2,9,Indole,745,incongruent,B,correct,563
SIM-002,31,female,ODOR,Correlation,Correlation_2,10,PEA,482,incongruent,V,correct,527
SIM-002,31,female,ODOR,Correlation,Correlation_2,11,PEA,482,incongruent,V,correct,547
SIM-002,31,female,ODOR,Correlation,Correlation_2,12,Indole,745,incongruent,B,correct,551
